City_name,Popul,Cri_index,tot_cri_index,Mur_mans,For_rape,Robbery,Agg_assault,Burglary,Lar_theft,Moto_theft,Arson
Adelanto,15515,361,363,2,2,5,117,120,68,47,2
Agoura Hills,21127,290,290,0,3,5,48,64,155,15,0
Alameda,79848,2933,2950,0,12,91,146,323,2022,339,17
Albany,17457,736,742,0,1,37,12,169,462,55,6
Alhambra,85356,2042,2057,4,3,165,97,372,1114,287,15
Anaheim,299477,10104,10157,16,85,468,1070,1640,5452,1373,53
Antioch,82621,2500,2535,3,14,120,382,510,1085,386,35
Apple Valley,57267,2006,2020,2,8,60,146,531,1072,187,14
Arcadia,50892,1406,1416,0,8,63,67,234,944,90,10
Arcata,16401,835,847,0,4,14,21,131,629,36,12
Arroyo Grande,15482,437,443,0,5,5,14,72,323,18,6
Artesia,16160,518,520,2,6,48,62,76,214,110,2
Arvin,11331,452,470,0,0,13,24,80,296,39,18
Atascadero,24997,605,626,0,8,5,66,135,358,33,21
Atwater,24657,1213,1217,3,7,24,161,444,473,101,4
Auburn,12567,428,432,0,3,6,39,81,273,26,4
Avenal,11875,211,211,0,1,3,52,84,66,5,0
Azusa,43248,1222,1235,1,9,69,80,228,634,201,13
Bakersfield,213365,11207,11320,24,27,357,451,2316,6870,1162,113
Baldwin Park,73007,1421,1433,7,20,90,121,278,528,377,12
Banning,27135,919,919,1,12,33,259,273,217,124,0
Barstow,23503,1238,1243,0,11,53,110,337,618,109,5
Beaumont,11073,602,602,1,6,18,132,188,198,59,0
Bell,35720,938,939,1,10,111,205,212,216,183,1
Bellflower,64541,2526,2544,8,24,230,239,442,1010,573,18
Bell Gardens,45033,1391,1399,5,11,144,203,286,457,285,8
Belmont,26605,347,347,0,2,6,17,57,232,33,0
Benicia,27244,459,467,0,6,17,22,149,221,44,8
Berkeley,109685,8343,8401,3,32,391,416,1197,5459,845,58
Beverly Hills,32875,1408,1411,1,7,84,65,231,943,77,3
Blythe,13765,653,669,0,1,12,105,146,372,17,16
Brawley,23289,975,981,1,5,30,62,262,539,76,6
Brea,36087,1460,1463,0,7,28,63,294,943,125,3
Brentwood,17875,536,539,0,2,8,27,105,350,44,3
Buena Park,74448,1902,1941,2,12,99,146,321,987,335,39
Burbank,98857,2813,2821,2,8,95,206,362,1592,548,8
Burlingame,28509,907,907,1,2,14,43,105,653,89,0
Calabasas,17985,248,250,0,2,7,43,65,112,19,2
Calexico,26951,1100,1100,0,2,51,69,288,386,304,0
Camarillo,60217,1128,1147,3,8,18,72,230,738,59,19
Campbell,39185,1214,1222,3,16,20,161,108,819,87,8
Canyon Lake,12632,210,211,0,3,3,47,54,88,15,1
Capitola,10736,767,770,0,2,11,51,46,649,8,3
Carlsbad,75827,2187,2194,0,17,40,144,434,1324,228,7
Carpinteria,14346,199,200,0,5,4,29,42,112,7,1
Carson,88931,3391,3427,9,15,174,535,598,1435,625,36
Cathedral City,38189,1503,1504,3,22,34,91,466,589,298,1
Ceres,32397,2124,2130,0,13,42,114,287,1448,220,6
Cerritos,54672,2583,2586,0,4,112,96,464,1343,564,3
Chico,47602,2394,2476,1,29,41,113,453,1568,189,82
Chino,66729,2197,2234,0,12,78,215,404,1171,317,37
Chino Hills,45733,953,971,0,4,16,39,243,537,114,18
Chowchilla,10294,410,416,0,1,8,50,141,177,33,6
Chula Vista,162905,7009,7065,10,47,300,667,977,3541,1467,56
Claremont,34252,957,958,0,9,26,38,193,635,56,1
Clearlake,12091,776,800,0,3,19,58,274,359,63,24
Clovis,64899,2423,2442,0,19,36,91,443,1565,269,19
Coachella,22920,946,957,0,19,24,126,250,346,181,11
Colton,45329,1961,1973,6,16,81,90,408,969,391,12
Commerce,13251,1263,1278,3,5,66,88,149,595,357,15
Compton,93621,4864,4903,54,30,529,889,1147,1320,895,39
Concord,119432,6566,6582,2,37,176,421,744,4555,631,16
Corcoran,17379,292,295,0,2,8,30,94,135,23,3
Corona,114468,3638,3654,4,27,130,134,735,2087,521,16
Coronado,26295,561,568,0,2,9,24,77,404,45,7
Costa Mesa,103847,3608,3625,4,29,106,180,489,2420,380,17
Covina,45144,1968,1976,4,9,70,150,342,1141,252,8
Cudahy,23802,533,535,1,4,45,123,78,177,105,2
Culver City,40286,1333,1333,0,5,122,74,222,721,189,0
Cupertino,45756,1046,1051,0,13,29,34,223,696,51,5
Cypress,48590,1158,1166,0,12,41,56,217,712,120,8
Daly City,100685,2528,2534,7,22,98,131,253,1624,393,6
Dana Point,34958,726,733,0,2,12,37,156,474,45,7
Danville,40843,587,589,0,4,5,6,125,415,32,2
Davis,55202,1646,1662,0,16,18,169,132,1202,109,16
Delano,34782,1409,1529,2,7,25,57,295,814,209,120
Desert Hot Springs,15295,1198,1199,3,25,40,202,418,432,78,1
Diamond Bar,55268,931,942,0,6,47,90,183,473,132,11
Dinuba,15130,865,868,1,6,11,93,217,451,86,3
Dixon,14701,370,373,0,4,8,34,58,225,41,3
Downey,95025,3645,3672,9,17,228,127,681,1605,978,27
Duarte,21788,536,543,1,5,21,93,95,257,64,7
Dublin,28411,693,697,0,3,13,79,122,413,63,4
East Palo Alto,25244,1133,1142,1,40,61,250,215,411,155,9
El Cajon,95640,3855,3893,3,32,123,415,578,2023,681,38
El Centro,37910,2398,2405,1,14,66,284,839,993,201,7
El Cerrito,24396,1260,1266,0,4,80,64,234,743,135,6
El Monte,113289,3324,3338,8,30,345,605,495,1281,560,14
El Segundo,15881,751,751,0,2,25,8,105,490,121,0
Encinitas,60821,1390,1394,0,8,47,127,296,731,181,4
Escondido,122344,4802,4833,3,41,153,410,616,2597,982,31
Eureka,25975,2153,2183,1,18,52,77,349,1385,271,30
Fairfield,91170,4517,4563,4,25,171,276,735,2871,435,46
Fillmore,13376,245,247,0,1,10,37,56,132,9,2
Folsom,45727,891,900,1,10,13,50,262,471,84,9
Fontana,111385,3561,3590,9,61,216,517,845,1134,779,29
Foster City,30887,451,461,0,4,5,16,71,333,22,10
Fountain Valley,57509,1697,1705,1,2,35,76,228,1175,180,8
Fremont,207291,5966,5983,1,23,115,284,993,3981,569,17
Fresno,403966,28833,29577,26,160,1268,2554,4419,15763,4643,744
Fullerton,123741,4002,4029,4,23,116,174,623,2617,445,27
Galt,17116,552,556,0,4,6,43,102,328,69,4
Gardena,54428,2613,2621,4,16,323,262,493,1068,447,8
Garden Grove,153480,5480,5517,11,26,204,468,798,2982,991,37
Gilroy,38284,1739,1745,0,7,55,282,225,1060,110,6
Glendale,187798,4990,5034,3,20,177,329,723,2995,743,44
Glendora,50541,1080,1093,0,5,40,61,211,683,80,13
Grand Terrace,12404,280,283,0,5,9,10,62,155,39,3
Greenfield,10187,326,326,2,4,20,39,95,158,8,0
Grover Beach,12067,392,393,0,6,5,32,65,256,28,1
Half Moon Bay,10778,224,224,0,0,3,15,61,133,12,0
Hanford,37695,1789,1791,0,15,41,83,301,1146,203,2
Hawaiian Gardens,13987,411,412,0,4,46,62,85,160,54,1
Hawthorne,74489,3564,3576,8,21,411,668,603,1269,584,12
Hayward,130760,5995,6044,11,64,308,488,798,3192,1134,49
Healdsburg,10105,368,376,0,2,8,18,116,208,16,8
Hemet,53554,2579,2608,4,19,83,268,901,1012,292,29
Hercules,20087,453,462,0,2,12,56,77,243,63,9
Hermosa Beach,19052,764,765,0,6,14,53,132,488,71,1
Hesperia,63222,1810,1823,1,12,43,119,419,1000,216,13
Highland,42648,1661,1676,4,17,100,104,524,705,207,15
Hillsborough,11683,72,72,0,0,1,2,16,48,5,0
Hollister,28819,1228,1237,1,6,21,246,183,720,51,9
Huntington Beach,198177,4863,4892,5,36,111,244,1055,2922,490,29
Huntington Park,59062,2429,2441,6,10,354,166,305,875,713,12
Imperial Beach,29170,862,871,3,12,46,112,161,395,133,9
Indio,45683,2252,2252,6,20,92,212,505,930,487,0
Inglewood,113253,4377,4429,16,39,601,693,691,1412,925,52
Irvine,138445,3374,3394,2,14,44,108,755,2150,301,20
La Canada0Flintridge,20199,303,303,2,0,17,20,83,164,17,0
Lafayette,27536,446,446,0,4,9,8,76,320,29,0
Laguena Niguel,54400,741,752,0,0,13,54,159,465,50,11
Laguna Beach,25443,646,647,0,5,10,33,148,420,30,1
Laguna Hills,32599,820,830,0,4,19,32,119,597,49,10
La Habra,55089,1434,1450,4,8,40,104,262,876,140,16
Lake Elsinore,28616,1246,1249,4,14,42,206,406,473,101,3
Lake Forest,81094,1058,1073,3,10,24,56,215,670,80,15
Lakewood,77339,2555,2564,4,23,135,191,386,1255,561,9
La Mesa,56806,2073,2083,1,12,80,106,316,1199,359,10
La Mirada,45161,1098,1103,3,10,46,143,195,552,149,5
Lancaster,120254,4107,4155,5,41,183,887,988,1612,391,48
La Palma,16706,365,365,0,1,17,31,75,204,37,0
La Puente,39310,1027,1037,4,11,69,236,152,396,159,10
La Quinta,20526,1047,1048,0,4,18,86,383,450,106,1
La Verne,32824,726,731,0,5,19,53,109,462,78,5
Lawndale,29417,989,995,1,7,118,165,167,360,171,6
Lemon Grove,26420,858,863,0,4,51,78,183,382,160,5
Lemoore,17745,598,602,1,5,13,45,132,359,43,4
Livermore,73343,1815,1827,2,13,31,78,401,1085,205,12
Livingston,10251,290,306,1,12,5,54,80,107,31,16
Lodi,56996,2815,2830,0,15,67,260,385,1786,302,15
Loma Linda,22795,619,625,0,2,14,19,91,386,107,6
Lomita,20224,507,511,1,5,25,84,123,201,68,4
Lompoc,41772,1690,1713,1,19,50,118,296,1158,48,23
Long Beach,437218,18154,18372,46,119,1566,1526,3357,8179,3361,218
Los Alamitos,12961,309,312,0,2,13,28,54,187,25,3
Los Altos,28336,369,369,0,0,10,38,78,231,12,0
Los Angeles              ,3650138,167495,169802,425,1288,14411,30716,21521,74457,24677,2307
Los Banos,20404,603,603,1,9,12,73,129,343,36,0
Los Gatos,29549,724,733,0,0,9,46,169,463,37,9
Lynwood,64288,2598,2646,12,21,331,649,364,632,589,48
Madera,37182,2370,2371,2,17,120,386,423,1090,332,1
Malibu,12740,327,330,0,3,9,33,76,177,29,3
Manhattan Beach,34434,1236,1239,0,4,41,37,231,834,89,3
Manteca,48119,1950,1979,0,11,32,109,289,1231,278,29
Marina,17625,477,480,0,9,21,16,111,282,38,3
Martinez,35002,1024,1026,0,10,10,47,180,648,129,2
Marysville,11964,836,838,0,6,17,70,160,471,112,2
Maywood,28677,587,588,0,5,62,66,54,296,104,1
Menlo Park,30524,885,892,1,7,32,58,153,582,52,7
Merced,60250,4069,4120,5,17,120,298,754,2567,308,51
Millbrae,22173,371,374,0,3,13,29,61,231,34,3
Mill Valley,13139,331,334,0,2,6,13,70,230,10,3
Milpitas,61628,2250,2253,1,23,36,173,328,1515,174,3
Mission Viejo,96838,1328,1338,0,5,26,87,285,850,75,10
Modesto,184683,10048,10240,5,71,290,626,1851,5936,1269,192
Monrovia,38007,1025,1034,0,6,63,102,189,566,99,9
Montclair,30822,1871,1879,2,9,74,130,248,1097,311,8
Montebello,61417,2244,2297,4,13,111,214,244,1135,523,53
Monterey,31562,1441,1441,0,9,42,163,216,958,53,0
Monterey Park,63447,1399,1402,4,6,132,61,293,577,326,3
Moorpark,30430,399,405,1,2,13,37,121,185,40,6
Moraga,18634,198,199,0,0,0,7,38,142,11,1
Moreno Valley,146732,5101,5112,6,72,201,669,1527,2047,579,11
Morgan Hill,31180,1042,1050,0,9,20,26,131,775,81,8
Morro Bay,10201,316,317,0,1,1,60,37,199,18,1
Mountain View,73250,2370,2381,0,9,49,319,202,1659,132,11
Murrieta,24450,621,622,0,7,20,51,127,330,86,1
Napa,67523,1964,1993,2,13,30,176,307,1329,107,29
National City,55800,3008,3020,5,30,180,340,408,1364,681,12
Newark,43766,1778,1789,0,14,44,80,183,1284,173,11
Newport Beach,73477,2139,2146,0,5,31,89,460,1417,137,7
Norco,26841,768,769,2,1,12,59,194,397,103,1
Norwalk,98947,3248,3275,10,27,217,465,529,1236,764,27
Novato,49380,1225,1238,0,10,21,123,252,760,59,13
Oakdale,15166,967,974,1,19,14,117,253,514,49,7
Oakland,371234,31073,31402,60,305,2190,3199,5094,15437,4788,329
Oceanside,154599,5229,5262,7,94,185,656,1060,2733,494,33
Ontario,149344,7712,7821,9,44,285,668,1172,4204,1330,109
Orange,125634,3628,3677,1,14,101,359,517,2156,480,49
Orinda,19622,260,260,1,1,6,6,52,185,9,0
Oroville,12283,947,947,0,0,30,11,235,561,110,0
Oxnard,156887,5907,5921,4,37,357,452,1029,3461,567,14
Pacifica,41273,647,652,0,6,9,120,101,369,42,5
Pacific Grove,16092,323,323,0,0,2,45,89,170,17,0
Palmdale,101624,3867,3906,6,40,192,716,873,1565,475,39
Palm Desert,29844,1920,1921,0,10,17,123,667,964,139,1
Palm Springs,44586,3048,3071,7,29,71,512,724,1404,301,23
Palo Alto,59964,2083,2094,0,6,39,49,233,1660,96,11
Palos Verdes Estates,14056,134,135,0,1,1,9,37,75,11,1
Paradise,26159,878,883,1,8,7,85,214,532,31,5
Paramount,51880,2525,2554,11,19,142,264,497,1074,518,29
Parlier,10410,465,483,1,1,18,87,64,227,67,18
Pasadena,136559,4985,5090,2,30,350,444,795,2913,451,105
Paso Robles,20959,701,705,1,6,10,73,117,450,44,4
Patterson,10016,361,363,3,0,7,79,42,200,30,2
Perris,33110,1703,1711,2,27,86,216,559,573,240,8
Petaluma,51659,1561,1577,0,12,19,94,207,1161,68,16
Pico Rivera,61572,1638,1660,9,14,100,314,246,626,329,22
Piedmont,11174,179,180,1,0,6,2,45,97,28,1
Pinole,19622,1163,1197,0,9,68,52,163,744,127,34
Pittsburg,53569,2311,2313,2,13,107,149,357,1313,370,2
Placentia,47844,932,942,2,2,23,108,200,493,104,10
Pleasant Hill,33799,1249,1257,0,7,33,65,216,836,92,8
Pleasanton,64977,1595,1599,0,6,14,24,155,1295,101,4
Pomona,137646,6610,6638,26,48,381,991,1169,2837,1158,28
Porterville,36124,1703,1705,4,12,25,136,330,977,219,2
Port Hueneme,20961,578,579,0,9,32,29,137,336,35,1
Poway,49829,923,933,1,7,16,79,206,534,80,10
Rancho Cucamonga,121806,3824,3858,7,27,92,142,825,2311,420,34
Rancho Mirage,11525,443,444,1,4,3,24,161,234,16,1
Rancho Palos Verdes,43280,433,436,1,1,11,45,124,201,50,3
Red Bluff,13392,803,813,0,8,10,161,153,445,26,10
Redding,79086,3382,3430,3,60,76,230,750,1964,299,48
Redlands,68295,2350,2373,1,16,52,261,345,1243,432,23
Redondo Beach,63999,2038,2042,1,13,70,82,314,1299,259,4
Redwood City,74514,2404,2418,4,12,56,181,258,1740,153,14
Reedley,19144,823,836,0,3,21,124,159,459,57,13
Rialto,85163,3410,3433,5,31,221,331,705,1544,573,23
Richmond,94839,7119,7185,31,47,411,736,1240,3704,950,66
Ridgecrest,30470,647,654,1,16,12,107,113,357,41,7
